"Date","Open","High","Low","Close","Adj Close","Volume"
"1998-03-01",105.25,111.53125,103.15625,109.9375,70.688301,87316900
"1998-04-01",110.3125,113.4375,107.625,111.34375,71.798172,118629400
"1998-05-01",111.75,113.3125,107.578125,109.03125,70.306992,116264800
"1998-06-01",108.96875,114.6875,107.5,113.3125,73.067703,141993600
"1998-07-01",114.0625,119.234375,111.3125,111.78125,72.309647,155280200
"1998-08-01",111.78125,112.421875,95,96,62.10099,268542800
"1998-09-01",96.0625,107,93.625,101.75,65.820564,269370500
"1998-10-01",100.03125,110.90625,92.21875,110,71.40876,249152700
"1998-11-01",110.8125,119.71875,110.1875,116.125,75.384865,136369000
"1998-12-01",116.125,124.75,113.75,123.3125,80.050797,156026700
"1999-01-01",123.375,128.5,120.375,127.65625,83.145927,141419000
"1999-02-01",128.6875,128.84375,121.328125,123.5625,80.479584,164624900
"1999-03-01",123.65625,132.625,121.78125,128.375,83.614082,148191100
"1999-04-01",129.6875,137.5,128.125,133.25,86.999817,156755700
"1999-05-01",133.4375,138,128,130.203125,85.010506,182566900
"1999-06-01",130.125,137.5,128.015625,137,89.448227,160692200
"1999-07-01",137,142.25,132.5625,132.75,86.93502,115669100
"1999-08-01",132.75,138.78125,127,132.0625,86.484787,142925900
"1999-09-01",132.9375,136.625,125.5625,128.75,84.315506,167972700
"1999-10-01",127.9375,137.6875,123.4375,137,89.970963,196829400
"1999-11-01",136.5,143,134.59375,139.28125,91.469078,125042200
"1999-12-01",139.3125,147.5625,139,146.875,96.456047,121529300
"2000-01-01",148.25,148.25,135,139.5625,91.878769,156770800
"2000-02-01",139.75,144.5625,132.71875,137.4375,90.479782,186938300
"2000-03-01",137.625,155.75,135.03125,150.375,98.996986,247594900
"2000-04-01",150.125,153.109375,133.5,145.09375,95.762894,229246200
"2000-05-01",146.5625,148.484375,136.5,142.8125,94.257309,161024000
"2000-06-01",143.6875,149.15625,143,145.28125,95.886696,127146000
"2000-07-01",145.4375,151.984375,141.515625,143,94.603226,106780100
"2000-08-01",143.625,153.09375,142.625,152.34375,100.784721,102365500
"2000-09-01",153.25,153.59375,142.125,143.625,95.016701,113203000
"2000-10-01",144.28125,145.75,130.15625,142.953125,94.80983,178392400
"2000-11-01",142.25,144.296875,129.75,132.28125,87.732002,156699900
"2000-12-01",133.1875,139.5625,125.53125,131.1875,87.006577,165416700
"2001-01-01",132,138.699997,127.5625,137.020004,91.153595,181296400
"2001-02-01",137.100006,137.990005,121.800003,123.949997,82.458679,178607000
"2001-03-01",124.050003,127.75,108.040001,116.690002,77.628922,318187200
"2001-04-01",116.300003,"127,269997",109.300003,126.660004,84.488426,251839700
"2001-05-01",125.07,132.089996,123.440002,125.949997,84.014801,208040000
"2001-06-01",126.199997,129.229996,120.400002,122.599998,81.780205,203578200
"2001-07-01",122.800003,124.32,116.75,121.349998,81.176575,196892900
"2001-08-01",121.970001,123.25,112.040001,114.150002,76.360168,269599600
"2001-09-01",113.849998,116.169998,93.800003,104.440002,69.864708,419156100
"2001-10-01",103.900002,111.790001,102.830002,105.800003,71.040047,512612000
"2001-11-01",106.599998,116.900002,105.699997,"114,050003",76.579582,372515000
"2001-12-01",113.650002,118,112,114.300003,76.747421,308403900
"2002-01-01",115.110001,117.989998,108.400002,113.18,76.256775,349380000
"2002-02-01",113.089996,113.300003,107.82,111.150002,74.889038,424492600
"2002-03-01",111.720001,117.900002,111.510002,114.519997,77.159645,385578100
"2002-04-01",114.230003,115.099998,106.629997,107.860001,72.880508,404461000
"2002-05-01",107.970001,111.25,104.900002,107.220001,72.448074,452626500
"2002-06-01",107.089996,107.599998,95.190002,98.959999,66.866852,534883500
"2002-07-01",99.18,99.800003,77.68,91.160004,61.812,1124248800
"2002-08-01",90.879997,97.150002,83.550003,91.779999,62.232399,936191200
"2002-09-01",90.730003,93.330002,80.900002,81.790001,55.458584,1013828600
"2002-10-01",82.43,91.290001,77.07,88.519997,60.290997,1344248100
"2002-11-01",88.349998,94.949997,87.449997,93.980003,64.009796,818243400
"2002-12-01",95.470001,96.050003,87.110001,88.230003,60.093449,728285900
"2003-01-01",88.849998,93.860001,84.150002,86.059998,58.903507,911319900
"2003-02-01",86.139999,86.809998,81,84.900002,58.109566,862248300
"2003-03-01",85.260002,89.879997,79.379997,84.739998,58.000057,1156870200
"2003-04-01",85.25,92.800003,84.910004,91.910004,63.161171,996114200
"2003-05-01",91.919998,97.089996,90.5,96.949997,66.62471,881509900
"2003-06-01",97.529999,102.18,96.669998,97.629997,67.09201,867970200
"2003-07-01",97.25,101.900002,96.43,99.389999,68.548218,895260500
"2003-08-01",99.190002,101.82,96.339996,101.440002,69.962082,772702000
"2003-09-01",101.639999,104.699997,99.25,99.949997,68.934425,818513400
"2003-10-01",100.239998,105.970001,100.199997,105.300003,72.903069,831700900
"2003-11-01",105.75,106.949997,103.620003,106.449997,73.699257,630654200
"2003-12-01",106.849998,111.519997,105.959999,111.279999,77.043282,678350400
"2004-01-01",111.739998,116.5,110.730003,113.480003,78.937622,737674000
"2004-02-01",113.699997,116.599998,112.779999,115.019997,80.008842,676976900
"2004-03-01",115.43,116.970001,108.849998,113.099998,78.673271,1125003900
"2004-04-01",113.07,115.410004,110.900002,110.959999,77.455269,968620900
"2004-05-01",111.370003,113.260002,108.059998,112.860001,78.781532,981083900
"2004-06-01",112.459999,114.940002,111.870003,114.529999,79.947281,721880400
"2004-07-01",114.25,114.400002,108.209999,110.839996,77.653923,954619200
"2004-08-01",110.190002,111.629997,106.589996,111.110001,77.843124,922892000
"2004-09-01",110.949997,113.739998,110.410004,111.760002,78.298485,790891900
"2004-10-01",112.260002,114.68,109.349998,113.199997,79.637444,1044071300
"2004-11-01",113.559998,119.139999,113.199997,117.889999,82.936951,961601700
"2004-12-01",118.160004,121.660004,117.730003,120.870003,85.285393,909170200
"2005-01-01",121.559998,121.760002,116.370003,118.160004,83.767097,1184211500
"2005-02-01",118.25,121.669998,118.099998,120.629997,85.51812,1025608400
"2005-03-01",120.82,123.25,116.25,117.959999,83.625298,1330548800
"2005-04-01",118.629997,119.260002,113.550003,115.75,82.380844,1633318500
"2005-05-01",116.07,120.25,114.800003,119.480003,85.035568,1334647300
"2005-06-01",119.519997,121.940002,118.75,119.18,84.822044,1089322900
"2005-07-01",119.449997,124.639999,118.260002,123.739998,88.422905,1176306400
"2005-08-01",123.830002,124.739998,120.379997,122.580002,87.593948,1306564800
"2005-09-01",122.519997,124.739998,120.440002,123.040001,87.922707,1287005000
"2005-10-01",122.959999,123.339996,116.879997,120.129997,86.208656,1784566400
"2005-11-01",120.580002,127.410004,120.129997,125.410004,89.997711,1183732800
"2005-12-01",126.019997,128.089996,124.360001,124.510002,89.351868,1073146800
"2006-01-01",125.190002,129.440002,124.389999,127.5,91.982613,1233910800
"2006-02-01",127.82,130.039993,125.400002,128.229996,92.509224,1145244400
"2006-03-01",128.600006,131.470001,127.18,129.830002,93.663536,1350777100
"2006-04-01",130.070007,131.860001,128.020004,131.470001,95.223854,1300327900
"2006-05-01",131.470001,132.800003,124.760002,127.510002,92.355621,1752747100
"2006-06-01",127.379997,129.429993,122.339996,127.279999,92.189034,2163829300
"2006-07-01",127.43,128.139999,122.389999,127.849998,93.0112,1691301400
"2006-08-01",127.339996,131.039993,126.279999,130.639999,95.040924,1420345400
"2006-09-01",131.139999,133.990005,129.350006,133.580002,97.179794,1363687900
"2006-10-01",133.539993,139,132.649994,137.789993,100.683449,1443344100
"2006-11-01",138.220001,141.160004,135.619995,140.529999,102.685593,1502059900
"2006-12-01",140.529999,143.240005,138.970001,141.619995,103.482002,1212756800
"2007-01-01",142.25,144.130005,140.25,143.75,105.623619,1330329900
"2007-02-01",144.149994,146.419998,139,140.929993,103.551628,1494548900
"2007-03-01",139.339996,143.809998,136.75,142,104.337822,2918304400
"2007-04-01",142.160004,149.800003,141.479996,148.289993,109.391724,1791289900
"2007-05-01",148.419998,153.889999,147.669998,153.320007,113.102249,2508178000
"2007-06-01",153.880005,154.399994,148.059998,150.429993,110.97036,3502885400
"2007-07-01",150.869995,155.529999,145.039993,145.720001,107.959122,3988676200
"2007-08-01",145.179993,150.589996,137,147.589996,109.344559,6195918600
"2007-09-01",147.449997,154.389999,144.330002,152.580002,113.041458,2967009200
"2007-10-01",152.600006,157.520004,148.660004,154.649994,115.118591,3850069600
"2007-11-01",153.289993,153.410004,140.660004,148.660004,110.659767,5472709900
"2007-12-01",148.190002,152.889999,143.960007,146.210007,108.836075,3293787500
"2008-01-01",146.529999,146.990005,126,137.369995,102.798447,6106834300
"2008-02-01",137.940002,139.610001,131.729996,133.820007,100.141846,4151028600
"2008-03-01",133.139999,135.809998,126.07,131.970001,98.757416,5462121800
"2008-04-01",133.610001,140.589996,132.330002,138.259995,103.976677,4014652600
"2008-05-01",138.380005,144.300003,137.520004,140.350006,105.548416,3646997000
"2008-06-01",139.830002,140.889999,127.040001,127.980003,96.245705,5408930000
"2008-07-01",126.519997,129.160004,120.019997,126.830002,95.857971,7156206800
"2008-08-01",127.120003,131.509995,124.760002,128.789993,97.33931,4344355500
"2008-09-01",130.029999,130.710007,110.529999,115.989998,87.665092,8105188900
"2008-10-01",115.269997,116.690002,83.580002,96.830002,73.607605,11882352200
"2008-11-01",96.779999,100.860001,74.339996,90.089996,68.484039,8762237000
"2008-12-01",87.510002,92.43,81.860001,90.239998,68.598045,6919927700
"2009-01-01",90.440002,94.449997,80.050003,82.830002,63.476299,6872039400
"2009-02-01",81.57,87.739998,73.809998,73.93,56.655838,7275092500
"2009-03-01",72.519997,83.300003,67.099998,79.519997,60.939686,8813959700
"2009-04-01",78.529999,89.019997,78.330002,87.419998,67.473328,6023006600
"2009-05-01",87.440002,93.699997,86.720001,92.529999,71.417389,5195735600
"2009-06-01",93.669998,96.110001,88.849998,91.949997,70.969742,5054855000
"2009-07-01",92.339996,99.830002,87,98.809998,76.695259,4295844600
"2009-08-01",99.849998,104.349998,98.110001,102.459999,79.528351,3957574800
"2009-09-01",101.949997,108.059998,99.57,105.589996,81.95784,3777956700
"2009-10-01",103,110.309998,101.989998,103.559998,80.76506,4481700800
"2009-11-01",104.129997,111.739998,103.080002,109.940002,85.74073,3430866200
"2009-12-01",110.919998,113.029999,109.019997,111.440002,86.910545,2883885800
"2010-01-01",112.370003,115.139999,107.220001,107.389999,84.202904,3706842300
"2010-02-01",108.150002,111.580002,104.580002,110.739998,86.829605,4451912400
"2010-03-01",111.199997,118.169998,111.169998,117,91.737946,3899688500
"2010-04-01",117.800003,122.120003,117.099998,118.809998,93.540787,3887089700
"2010-05-01",119.379997,120.68,104.379997,109.370003,86.108521,7413878800
"2010-06-01",108.349998,113.199997,102.879997,103.220001,81.266556,5706059600
"2010-07-01",103.150002,112.290001,101.129997,110.269997,87.230209,4725402000
"2010-08-01",111.989998,113.18,104.290001,105.309998,83.306519,4541971600
"2010-09-01",106.730003,115.790001,106.660004,114.129997,90.283661,4035642500
"2010-10-01",114.989998,119.760002,113.18,118.489998,94.234497,3767490800
"2010-11-01",119.07,122.949997,117.589996,118.489998,94.234497,3983708900
"2010-12-01",120.199997,126.199997,120.190002,125.75,100.008347,2722749900
"2011-01-01",126.709999,130.350006,125.699997,128.679993,102.876724,2860314700
"2011-02-01",129.460007,134.690002,129.380005,133.149994,106.450424,2820073500
"2011-03-01",133.570007,133.690002,125.279999,132.589996,106.002716,4787459400
"2011-04-01",133.410004,136.570007,129.509995,136.429993,109.546524,2812718500
"2011-05-01",137.070007,137.179993,131.380005,134.899994,108.318008,3337607300
"2011-06-01",134.509995,134.919998,126.190002,131.970001,105.965385,4710433400
"2011-07-01",132.089996,135.699997,127.970001,129.330002,104.360413,3840768000
"2011-08-01",130.839996,130.960007,110.269997,122.220001,98.623146,9050451800
"2011-09-01",122.290001,123.400002,111.300003,113.150002,91.304276,6188283200
"2011-10-01",112.489998,129.419998,107.43,125.5,101.7938,5721102000
"2011-11-01",122.029999,128.020004,116.199997,124.989998,101.38015,5013586000
"2011-12-01",124.849998,127.260002,120.029999,125.5,101.7938,3848636100
"2012-01-01",127.760002,133.399994,126.43,131.320007,107.19001,2883821400
"2012-02-01",132.289993,138.190002,132.130005,137.020004,111.842613,2894582000
"2012-03-01",137.309998,141.830002,134.360001,140.809998,114.936188,3057516200
"2012-04-01",140.639999,142.210007,135.759995,139.869995,114.669266,3035644100
"2012-05-01",139.789993,141.660004,129.550003,131.470001,107.782692,4004156100
"2012-06-01",129.410004,136.270004,127.139999,136.100006,111.578537,3644886200
"2012-07-01",136.479996,139.339996,132.600006,137.710007,113.483414,2864743300
"2012-08-01",138.699997,143.089996,135.580002,141.160004,116.326469,2413590900
"2012-09-01",141.039993,148.110001,140.130005,143.970001,118.642113,2391233500
"2012-10-01",144.520004,147.160004,140.389999,141.350006,117.104843,2719915500
"2012-11-01",141.649994,143.720001,134.699997,142.149994,117.767624,3032769100
"2012-12-01",142.800003,145.580002,139.539993,142.410004,117.983017,2889875900
"2013-01-01",145.110001,150.940002,144.729996,149.699997,124.902184,2587140200
"2013-02-01",150.649994,153.279999,148.729996,151.610001,126.495842,2581459300
"2013-03-01",151.089996,156.850006,150.410004,156.669998,130.717636,2330972300
"2013-04-01",156.589996,159.720001,153.550003,159.679993,133.821564,2907035000
"2013-05-01",159.330002,169.070007,158.100006,163.449997,136.981064,2781596000
"2013-06-01",163.830002,165.990005,155.729996,160.419998,134.441742,3533321800
"2013-07-01",161.259995,169.860001,160.220001,168.710007,142.137421,2330904500
"2013-08-01",169.990005,170.970001,163.050003,163.649994,137.87442,2283131700
"2013-09-01",165.229996,173.600006,163.699997,168.009995,141.547668,2226749600
"2013-10-01",168.139999,177.509995,164.529999,175.789993,148.824188,2901739000
"2013-11-01",176.020004,181.75,174.759995,181,153.234985,1930952900
"2013-12-01",181.089996,184.690002,177.320007,184.690002,156.358978,2232775900
"2014-01-01",183.979996,184.940002,176.880005,178.179993,151.66655,2530650900
"2014-02-01",177.970001,187.149994,173.710007,186.289993,158.569748,2394184600
"2014-03-01",184.649994,189.020004,183.75,187.009995,159.182693,2554084300
"2014-04-01",187.619995,189.699997,181.309998,188.309998,160.996643,2345902000
"2014-05-01",188.220001,192.800003,186.009995,192.679993,164.732742,1781093800
"2014-06-01",192.949997,196.600006,191.970001,195.720001,167.331818,1675047300
"2014-07-01",196.199997,199.059998,192.970001,193.089996,165.874313,1893710200
"2014-08-01",192.559998,200.820007,190.550003,200.710007,172.420319,1829885000
"2014-09-01",200.970001,201.899994,196.050003,197.020004,169.250458,2106462700
"2014-10-01",196.699997,201.820007,181.919998,201.660004,174.046173,3943068000
"2014-11-01",201.919998,207.869995,200.059998,207.199997,178.82756,1571091800
"2014-12-01",206.399994,212.970001,197.860001,205.539993,177.394913,3045171000
"2015-01-01",206.380005,206.880005,198.550003,199.449997,173.088882,3183506000
"2015-02-01",200.050003,212.240005,197.860001,210.660004,182.817261,1901638100
"2015-03-01",210.779999,212.059998,204.119995,206.429993,179.146393,2749923000
"2015-04-01",206.389999,212.479996,204.509995,208.460007,181.715591,2036685200
"2015-05-01",209.399994,213.779999,206.759995,211.139999,184.051727,1892519900
"2015-06-01",211.940002,213.339996,205.279999,205.850006,179.44046,2535242600
"2015-07-01",207.729996,213.179993,204.110001,210.5,184.386475,2452758000
"2015-08-01",210.460007,211.309998,182.399994,197.669998,173.148041,3734926900
"2015-09-01",193.119995,202.889999,186.929993,191.630005,167.857346,3279512900
"2015-10-01",192.080002,209.440002,189.119995,207.929993,183.082092,2536184400
"2015-11-01",208.320007,211.660004,202.179993,208.690002,183.751328,1924512800
"2015-12-01",209.440002,211,199.830002,203.869995,179.507309,2924882300
"2016-01-01",200.490005,201.899994,181.020004,193.720001,171.585373,3712950900
"2016-02-01",192.529999,196.679993,181.089996,193.559998,171.443619,2920730800
"2016-03-01",195.009995,206.869995,194.449997,205.520004,182.037109,2323306500
"2016-04-01",204.350006,210.919998,203.089996,206.330002,183.697174,1910635600
"2016-05-01",206.919998,210.690002,202.779999,209.839996,186.822098,1828530900
"2016-06-01",209.119995,212.520004,198.649994,209.479996,186.501617,2612406900
"2016-07-01",209.479996,217.539993,207.059998,217.119995,194.308777,1648453700
"2016-08-01",217.190002,219.600006,214.25,217.380005,194.541519,1519703200
"2016-09-01",217.369995,219.220001,212.309998,216.300003,193.574966,2292393000
"2016-10-01",215.820007,216.699997,211.210007,212.550003,191.179855,1725687400
"2016-11-01",212.929993,221.820007,208.380005,220.380005,198.222595,2073824400
